sample_index,count,is_noisy
4,1,False
5,1,False
6,1,False
7,3,False
8,1,False
9,1,False
19,3,False
22,2,False
23,1,False
25,3,False
29,3,False
31,1,False
32,1,False
33,3,False
37,1,False
39,3,False
40,5,False
42,1,False
45,1,False
50,3,False
54,1,False
55,2,False
58,1,False
73,1,False
75,1,False
80,1,False
81,1,False
83,2,False
86,3,False
87,3,False
95,1,False
104,1,False
107,2,False
109,4,False
111,1,False
122,1,False
123,1,False
124,1,False
125,2,False
128,1,False
131,2,False
133,1,False
137,1,False
141,6,False
149,1,False
152,4,False
154,1,False
158,1,False
163,3,False
169,5,False
175,5,False
177,1,False
179,2,False
181,1,False
183,1,False
190,1,False
202,3,False
210,3,False
215,1,False
218,3,False
219,1,False
230,1,False
233,1,False
234,2,False
238,3,False
243,1,False
244,1,False
247,2,False
256,1,False
263,1,False
273,1,False
277,1,False
282,1,False
284,3,False
285,1,False
296,1,False
298,1,False
299,1,False
301,2,False
302,1,False
305,1,False
307,3,False
309,10,False
310,1,False
312,1,False
316,2,False
318,1,False
321,1,False
330,3,False
342,1,False
346,1,False
348,2,False
351,3,False
358,1,False
359,1,False
363,1,False
364,1,False
368,1,False
373,1,False
376,2,False
382,1,False
385,4,False
389,1,False
393,2,False
394,1,False
407,2,False
409,2,False
413,2,False
417,1,False
418,2,False
421,1,False
425,1,False
429,1,False
438,1,False
444,1,False
449,2,False
450,2,False
451,1,False
463,2,False
467,1,False
469,2,False
470,1,False
473,1,False
477,2,False
483,1,False
490,1,False
495,3,False
497,1,False
500,1,False
506,2,False
511,1,False
513,1,False
516,1,False
519,1,False
525,1,False
527,1,False
535,2,False
538,2,False
539,2,False
541,5,False
544,1,False
546,1,False
549,1,False
554,1,False
558,2,False
560,2,False
564,1,False
565,1,False
568,2,False
569,1,False
572,2,False
576,1,False
578,1,False
579,1,False
581,1,False
585,1,False
586,1,False
591,1,False
599,1,False
600,1,False
607,1,False
608,3,False
622,2,False
625,2,False
631,1,False
633,1,False
634,1,False
637,1,False
639,1,False
643,1,False
646,2,False
651,1,False
670,2,False
671,3,False
672,2,False
677,1,False
683,2,False
686,1,False
687,1,False
691,4,False
699,3,False
703,1,False
708,1,False
